unit,sex,age,acl00,geo\time	2010 	2000 
PTP_RT,F,TOTAL,AC1A,PL	28.6 	34.0 
PTP_RT,F,TOTAL,AC1A,RO	33.6 	: 
PTP_RT,F,TOTAL,AC1A,RS	30.2 	: 
PTP_RT,F,TOTAL,AC1A,SI	: 	38.4 
PTP_RT,F,TOTAL,AC1A,TR	18.8 	: 
PTP_RT,F,TOTAL,AC1A,UK	31.1 	35.5 
PTP_RT,F,TOTAL,AC1B,AT	15.4 	: 
PTP_RT,F,TOTAL,AC1B,BE	9.0 	1.2 
PTP_RT,F,TOTAL,AC1B,BG	: 	5.6 
PTP_RT,F,TOTAL,AC1B,DE	6.2 	8.2 
PTP_RT,F,TOTAL,AC1B,EE	5.3 	8.6 
PTP_RT,F,TOTAL,AC1B,EL	1.0 	: 
PTP_RT,F,TOTAL,AC1B,ES	2.9 	2.7 
PTP_RT,F,TOTAL,AC1B,FI	7.8 	7.1 
PTP_RT,F,TOTAL,AC1B,FR	4.8 	1.5 
PTP_RT,F,TOTAL,AC1B,HU	0.5 	: 
PTP_RT,F,TOTAL,AC1B,IT	1.5 	2.6 
PTP_RT,F,TOTAL,AC1B,LT	: 	6.9 
PTP_RT,F,TOTAL,AC1B,LU	6.9 	: 
PTP_RT,F,TOTAL,AC1B,LV	: 	11.6 
PTP_RT,F,TOTAL,AC1B,NL	5.2 	: 
PTP_RT,F,TOTAL,AC1B,NO	3.3 	5.5 
PTP_RT,F,TOTAL,AC1B,PL	3.5 	3.1 
PTP_RT,F,TOTAL,AC1B,RO	4.8 	: 
PTP_RT,F,TOTAL,AC1B,RS	14.0 	: 
PTP_RT,F,TOTAL,AC1B,SI	: 	9.3 
PTP_RT,F,TOTAL,AC1B,TR	1.7 	: 
PTP_RT,F,TOTAL,AC1B,UK	13.4 	7.0 
PTP_RT,F,TOTAL,AC1_TR,AT	36.6 	: 
PTP_RT,F,TOTAL,AC1_TR,BE	25.9 	28.6 
PTP_RT,F,TOTAL,AC1_TR,BG	: 	32.4 
PTP_RT,F,TOTAL,AC1_TR,DE	31.1 	30.1 
PTP_RT,F,TOTAL,AC1_TR,EE	32.1 	40.9 
PTP_RT,F,TOTAL,AC1_TR,EL	22.8 	: 
PTP_RT,F,TOTAL,AC1_TR,ES	29.5 	30.6 
PTP_RT,F,TOTAL,AC1_TR,FI	30.2 	36.5 
PTP_RT,F,TOTAL,AC1_TR,FR	30.5 	34.3 
PTP_RT,F,TOTAL,AC1_TR,HU	28.0 	: 
PTP_RT,F,TOTAL,AC1_TR,IT	25.8 	28.0 
PTP_RT,F,TOTAL,AC1_TR,LT	: 	47.1 
PTP_RT,F,TOTAL,AC1_TR,LU	37.8 	: 
PTP_RT,F,TOTAL,AC1_TR,LV	: 	44.7 
PTP_RT,F,TOTAL,AC1_TR,NL	31.0 	: 
PTP_RT,F,TOTAL,AC1_TR,NO	36.2 	40.3 
PTP_RT,F,TOTAL,AC1_TR,PL	29.3 	34.7 
PTP_RT,F,TOTAL,AC1_TR,RO	33.8 	: 
PTP_RT,F,TOTAL,AC1_TR,RS	30.9 	: 
PTP_RT,F,TOTAL,AC1_TR,SI	: 	38.8 
PTP_RT,F,TOTAL,AC1_TR,TR	19.2 	: 
PTP_RT,F,TOTAL,AC1_TR,UK	32.3 	36.0 
PTP_RT,F,TOTAL,AC2,AT	8.3 	: 
PTP_RT,F,TOTAL,AC2,BE	11.4 	7.6 
PTP_RT,F,TOTAL,AC2,BG	: 	2.1 
PTP_RT,F,TOTAL,AC2,DE	7.2 	6.3 
PTP_RT,F,TOTAL,AC2,EE	6.9 	3.2 
PTP_RT,F,TOTAL,AC2,EL	7.4 	: 
PTP_RT,F,TOTAL,AC2,ES	9.6 	8.1 
PTP_RT,F,TOTAL,AC2,FI	9.6 	6.4 
PTP_RT,F,TOTAL,AC2,FR	8.9 	5.3 
PTP_RT,F,TOTAL,AC2,HU	8.7 	: 
PTP_RT,F,TOTAL,AC2,IT	7.7 	4.8 
PTP_RT,F,TOTAL,AC2,LT	: 	4.4 
PTP_RT,F,TOTAL,AC2,LU	9.5 	: 
PTP_RT,F,TOTAL,AC2,LV	: 	5.0 
PTP_RT,F,TOTAL,AC2,NL	9.1 	: 
PTP_RT,F,TOTAL,AC2,NO	10.3 	6.2 
PTP_RT,F,TOTAL,AC2,PL	7.5 	6.0 
PTP_RT,F,TOTAL,AC2,RO	6.0 	: 
PTP_RT,F,TOTAL,AC2,RS	7.6 	: 
PTP_RT,F,TOTAL,AC2,SI	: 	7.5 
PTP_RT,F,TOTAL,AC2,TR	9.9 	: 
PTP_RT,F,TOTAL,AC2,UK	7.7 	4.4 
PTP_RT,F,TOTAL,AC212,AT	5.4 	: 
PTP_RT,F,TOTAL,AC212,BE	7.5 	3.0 
PTP_RT,F,TOTAL,AC212,BG	: 	1.6 
PTP_RT,F,TOTAL,AC212,DE	3.5 	2.2 
PTP_RT,F,TOTAL,AC212,EE	4.6 	1.3 
PTP_RT,F,TOTAL,AC212,EL	6.3 	: 
PTP_RT,F,TOTAL,AC212,ES	4.4 	3.6 
PTP_RT,F,TOTAL,AC212,FI	5.4 	3.4 
PTP_RT,F,TOTAL,AC212,FR	5.1 	2.9 
PTP_RT,F,TOTAL,AC212,HU	5.3 	: 
PTP_RT,F,TOTAL,AC212,IT	6.2 	3.7 
PTP_RT,F,TOTAL,AC212,LT	: 	2.6 
PTP_RT,F,TOTAL,AC212,LU	6.4 	: 
PTP_RT,F,TOTAL,AC212,LV	: 	2.6 
PTP_RT,F,TOTAL,AC212,NL	4.5 	: 
PTP_RT,F,TOTAL,AC212,NO	6.2 	3.5 
PTP_RT,F,TOTAL,AC212,PL	5.3 	4.1 
PTP_RT,F,TOTAL,AC212,RO	4.5 	: 
PTP_RT,F,TOTAL,AC212,RS	6.4 	: 
PTP_RT,F,TOTAL,AC212,SI	: 	5.6 
PTP_RT,F,TOTAL,AC212,TR	7.8 	: 
PTP_RT,F,TOTAL,AC212,UK	4.1 	2.0 
PTP_RT,F,TOTAL,AC21A,AT	4.5 	: 
PTP_RT,F,TOTAL,AC21A,BE	6.0 	3.9 
PTP_RT,F,TOTAL,AC21A,BG	: 	0.6 
PTP_RT,F,TOTAL,AC21A,DE	3.7 	1.9 
PTP_RT,F,TOTAL,AC21A,EE	3.8 	0.8 
PTP_RT,F,TOTAL,AC21A,EL	4.4 	: 
PTP_RT,F,TOTAL,AC21A,ES	4.3 	2.6 
PTP_RT,F,TOTAL,AC21A,FI	5.4 	3.2 
PTP_RT,F,TOTAL,AC21A,FR	5.0 	2.6 
PTP_RT,F,TOTAL,AC21A,HU	4.7 	: 
PTP_RT,F,TOTAL,AC21A,IT	4.2 	1.6 
PTP_RT,F,TOTAL,AC21A,LT	: 	2.1 
PTP_RT,F,TOTAL,AC21A,LU	5.2 	: 
PTP_RT,F,TOTAL,AC21A,LV	: 	3.1 
PTP_RT,F,TOTAL,AC21A,NL	5.0 	: 
PTP_RT,F,TOTAL,AC21A,NO	6.7 	4.1 
PTP_RT,F,TOTAL,AC21A,PL	4.3 	2.4 
PTP_RT,F,TOTAL,AC21A,RO	4.1 	: 
PTP_RT,F,TOTAL,AC21A,RS	4.2 	: 
PTP_RT,F,TOTAL,AC21A,SI	: 	2.8 
PTP_RT,F,TOTAL,AC21A,TR	5.5 	: 
PTP_RT,F,TOTAL,AC21A,UK	4.1 	1.5 
PTP_RT,F,TOTAL,AC22,AT	1.8 	: 
PTP_RT,F,TOTAL,AC22,BE	1.8 	2.5 
PTP_RT,F,TOTAL,AC22,BG	: 	0.3 
PTP_RT,F,TOTAL,AC22,DE	2.0 	3.2 
PTP_RT,F,TOTAL,AC22,EE	1.1 	1.6 
PTP_RT,F,TOTAL,AC22,EL	0.5 	: 
PTP_RT,F,TOTAL,AC22,ES	4.5 	3.9 
PTP_RT,F,TOTAL,AC22,FI	1.6 	1.4 
PTP_RT,F,TOTAL,AC22,FR	1.8 	1.3 
PTP_RT,F,TOTAL,AC22,HU	2.2 	: 
PTP_RT,F,TOTAL,AC22,IT	0.8 	0.5 
PTP_RT,F,TOTAL,AC22,LT	: 	1.0 
PTP_RT,F,TOTAL,AC22,LU	2.8 	: 
PTP_RT,F,TOTAL,AC22,LV	: 	1.0 
PTP_RT,F,TOTAL,AC22,NL	2.3 	: 
PTP_RT,F,TOTAL,AC22,NO	0.9 	: 
PTP_RT,F,TOTAL,AC22,PL	1.1 	1.2 
PTP_RT,F,TOTAL,AC22,RO	0.9 	: 
PTP_RT,F,TOTAL,AC22,RS	0.7 	: 
PTP_RT,F,TOTAL,AC22,SI	: 	0.9 
PTP_RT,F,TOTAL,AC22,TR	0.7 	: 
PTP_RT,F,TOTAL,AC22,UK	1.9 	1.7 
PTP_RT,F,TOTAL,AC3,AT	93.8 	: 
PTP_RT,F,TOTAL,AC3,BE	93.8 	96.7 
PTP_RT,F,TOTAL,AC3,BG	: 	96.7 
PTP_RT,F,TOTAL,AC3,DE	95.2 	96.8 
PTP_RT,F,TOTAL,AC3,EE	93.8 	97.8 
PTP_RT,F,TOTAL,AC3,EL	91.9 	: 
PTP_RT,F,TOTAL,AC3,ES	93.0 	95.6 
PTP_RT,F,TOTAL,AC3,FI	96.0 	98.4 
PTP_RT,F,TOTAL,AC3,FR	93.6 	97.0 
PTP_RT,F,TOTAL,AC3,HU	96.3 	: 
PTP_RT,F,TOTAL,AC3,IT	92.7 	95.6 
PTP_RT,F,TOTAL,AC3,LT	: 	97.9 
PTP_RT,F,TOTAL,AC3,LU	92.4 	: 
PTP_RT,F,TOTAL,AC3,LV	: 	95.2 
PTP_RT,F,TOTAL,AC3,NL	94.7 	: 
PTP_RT,F,TOTAL,AC3,NO	96.3 	98.5 
PTP_RT,F,TOTAL,AC3,PL	96.7 	98.4 
PTP_RT,F,TOTAL,AC3,RO	93.7 	: 
PTP_RT,F,TOTAL,AC3,RS	94.7 	: 
PTP_RT,F,TOTAL,AC3,SI	: 	97.2 
PTP_RT,F,TOTAL,AC3,TR	92.3 	: 
PTP_RT,F,TOTAL,AC3,UK	95.2 	97.2 
PTP_RT,F,TOTAL,AC313,AT	49.0 	: 
PTP_RT,F,TOTAL,AC313,BE	61.7 	60.5 
PTP_RT,F,TOTAL,AC313,BG	: 	79.1 
PTP_RT,F,TOTAL,AC313,DE	46.0 	59.2 
PTP_RT,F,TOTAL,AC313,EE	54.7 	72.7 
PTP_RT,F,TOTAL,AC313,EL	70.9 	: 
PTP_RT,F,TOTAL,AC313,ES	60.5 	65.6 
PTP_RT,F,TOTAL,AC313,FI	53.2 	57.9 
PTP_RT,F,TOTAL,AC313,FR	44.4 	62.8 
PTP_RT,F,TOTAL,AC313,HU	72.2 	: 
PTP_RT,F,TOTAL,AC313,IT	54.0 	68.9 
PTP_RT,F,TOTAL,AC313,LT	: 	68.7 
PTP_RT,F,TOTAL,AC313,LU	57.5 	: 
PTP_RT,F,TOTAL,AC313,LV	: 	63.3 
